,cluster_id,momentum
ENV,1147,-0.0215965445528715
ENVA,1332,0.0254358974358974
EOG,32,0.0688373739161209
EOLS,1273,-0.0176405733186328
EPAC,1795,0.0505012996658003
EPAM,1982,-0.0110515195839426
EPC,2029,0.0163934426229506
EPD,955,0.0180180180180178
EPRT,72,0.014751552795031
EQBK,1089,-0.0359281437125748
EQC,216,-0.0127178520960904
EQH,1752,0.0162316995544238
EQIX,491,-0.0004358754558529
EQNR,1306,0.0196656833824975
EQR,122,-0.0180742162507997
ERIE,2003,-0.0128722545562681
ERII,1307,0.0240144993203443
NSC,69,0.0168579307890757
ES,38,-0.0069639748225525
ESE,1526,0.0122330722180492
ESGR,1507,-0.0061756165392008
ESI,1063,0.0194741966893867
ESLT,1898,0.0005919962112244
ESNT,92,0.0116414435389988
ESRT,1182,0.046639231824417
ESS,1471,-0.0067087608524072
ESTA,1297,-0.0245604242255091
ESTC,1536,-0.0103354794984752
ESTE,1938,0.0444444444444445
ET,411,0.022906793048973
ETN,237,0.0012576459155091
ETSY,1402,-0.0242978337863438
EURN,244,0.0197693574958812
EVA,1164,-0.1540404040404041
EVBG,1223,0.0477356181150552
EVC,1352,0.0
EVER,1350,0.0139194139194138
EVH,1025,0.0039988574692944
OLN,1101,0.0216450216450216
EVOP,732,0.0
EVR,1521,7.623113279464633e-05
EVRG,38,0.0
EVRI,1965,-0.010531858873091
EVTC,1702,0.015484922575387
EW,2008,-0.0026106414719044
EWBC,124,-0.0238813803962734
EXAS,1343,0.0096261832183539
EXC,1557,-0.0002475860361474
EXEL,1075,0.0058548009367682
EXLS,1256,0.0022491033979696
EXP,1888,0.0376282782212087
EXPD,1840,0.0515493496557
EXPE,1647,-0.0292741121409562
FARM,1194,-0.0265486725663715
FARO,2011,-0.0194852941176469
FATE,1641,-0.0049019607843138
FBIN,1918,-0.0080710250201775
FBK,2022,-0.0424515786680815
FBMS,1746,-0.014691791759821
FBNC,2016,-0.0043383947939262
FCEL,786,-0.0179640718562874
FCF,1657,-0.0143660212367271
FCFS,1058,0.0103116147308781
FCN,1696,-0.0022317783463066
FCNCA,2012,-0.0489124509376363
FCPT,224,0.0062615101289134
FCX,1639,0.0451549914571638
FDX,1614,0.01825607715776
FE,1992,-0.0116337885685382
FELE,1029,-0.0038715077953331
FET,1718,0.0276639344262294
FFIC,56,-0.0061664953751284
FFWM,1365,-0.0192435301924354
FGEN,1031,0.0013513513513514
FICO,1420,0.0149544575503033
FINV,1922,0.009861932938856
FIS,169,0.008205775603598
FISI,11,-0.0120192307692308
FISV,803,0.0171170388391692
FITB,13,-0.0187327823691459
FITBI,86,0.002385685884692
FIVE,672,-0.0118942731277533
FIVN,1448,0.0
FIX,1225,0.012101210121012
FIZZ,1277,-0.0012861736334404
FL,1893,0.0064043915827995
FLEX,1873,0.0
FLGT,1108,0.0189082037206465
FLR,1242,0.0253613307881102
FLS,1879,0.0086480253675411
FLT,1324,-0.0106615764234834
FMBH,2,0.0
FMC,1457,-0.0022454510259387
FMNB,60,0.0070175438596491
FMS,1275,-0.0366225839267547
FMX,1673,0.0151218450826806
FNB,119,-0.0084805653710248
FND,1019,-0.0372508441346258
FNF,1866,-0.0423983943803311
FNKO,1967,-0.0804810360777059
FNLC,217,-0.001707650273224
FNV,206,0.0562828251156228
FOCS,754,-0.000578480524489
FOLD,1940,-0.0386656557998483
FORM,521,0.0112956810631228
FORR,1279,0.0319245971419883
FOSL,1150,0.0277136258660508
FOX,901,0.0015503875968991
FOXA,901,0.0025699600228439
FOXF,1985,0.0206808510638298
FPAC,9,0.0019646365422396
FPI,1302,-0.0009328358208955
FR,81,0.0155450236966825
FRC,1811,-0.0265832046175108
FRGI,1337,0.0248447204968942
QTWO,1452,-0.001548946716233
FRME,872,-0.0133004926108374
FRPH,97,-0.0060384263494968
FRPT,1447,0.0061112898037953
FRST,230,-0.0093936806148592
FRT,653,-0.0052444277954672
FSK,173,0.0020294266869609
FTAI,1631,-0.0166204986149584
FTDR,1387,0.0428318584070797
FTI,1642,0.0045781556572923
FTNT,1737,0.003364737550471
FTS,38,-0.0022744503411676
FTV,245,0.0154515451545154
FULT,119,-0.0145348837209302
FUN,1656,0.0211236933797909
DB,1615,-0.0208667736757626
GABC,2,-0.0170483460559794
GAIN,1423,-0.0036205648081101
RHP,1620,0.0293198232187128
PGR,248,-0.0088489409141583
GATX,1649,0.0209120221096268
PHI,1056,0.0208955223880598
GBX,1426,0.0199314855185299
GD,35,0.0102672107410819
GDDY,1347,-0.0011887465328224
GDEN,135,-0.007297494526879
GDOT,1129,0.0121500264131009
GDS,1988,0.0176623376623377
GDYN,1705,0.0206008583690986
GE,1320,0.0119230315193012
GEL,1224,0.0233362143474502
GEN,1493,-0.0107637109174782
GFF,118,0.0312585686865918
GFI,172,0.0264026402640265
GGAL,34,-0.063063063063063
GGB,1032,0.0365630712979889
GGG,2000,0.0047454702329594
GH,1825,0.0200712204596957
GHC,1760,-0.0038138703603229
SCS,1819,0.0190597204574332
GHG,1192,0.0846153846153847
GHL,1330,0.0035587188612098
GIB,1374,0.0114929703191251
GIC,1674,-0.0199075719872022
GIII,617,0.0105326512187782
GIL,1126,0.0337007874015748
GILD,1005,-0.0113001365950576
GILT,1503,0.0034423407917385
SEE,1553,0.002262443438914
GIS,19,-0.0070431392277701
GKOS,776,0.040652127884819
GL,36,-0.0072314898512613
GLDD,211,-0.0305143853530951
DDD,1,0.0766087844739529
GLNG,1454,-0.0127025843188786
GLOB,1773,0.0138114853404409
GLPI,1720,0.0141054194506309
GLT,1566,-0.0390625
GNK,75,0.026246719160105
GNL,850,0.0077903682719546
GNRC,1496,0.0164986251145737
GNTX,1533,0.0007005253940455
GOLD,57,0.0161290322580645
GOLF,1817,0.1013261500207212
GOOD,1678,-0.0095029239766081
GOOGL,7,0.0215411947590495
GOOS,40,0.0111642743221691
STLD,442,0.0537625882166361
GRPN,1842,-0.1011984021304926
GSBC,2,-0.007905138339921
GSHD,1310,0.0478027867095391
GSK,1148,0.0090458126641375
GSM,1175,0.0581162324649298
GT,1073,0.0211267605633802
GTES,1132,0.0121082621082622
GTLS,1525,0.0265168539325841
GTN,1953,-0.035042735042735
GWRE,1045,0.0195128899017233
GWRS,1394,-0.0712121212121211
GWW,45,0.0240414104693087
HAS,590,0.0010907107798583
HASI,1227,-0.01209805794333
HCKT,711,0.0134120171673819
HDSN,576,-0.0128331688055282
HELE,1691,-0.0064779483538912
HEP,1289,0.0105088495575222
HFWA,94,-0.0197344815213491
HI,784,0.0511243105642764
HIBB,1464,-0.0191853190601974
HIG,960,-0.0118804292284109
HII,1462,0.0107806691449814
OVV,235,0.0741173719897123
HNI,1319,0.01472
HOFT,1189,-0.0434387082101431
HOG,1050,-0.0094976783452934
HOLI,1404,-0.0250135943447525
HOLX,1729,0.0055248618784529
HOMB,107,-0.0049792531120332
HON,1892,0.0155107583037392
HONE,1959,-0.021945866861741
HOPE,1809,-0.0124902419984387
HOUS,1681,-0.0362694300518134
HOV,1249,-0.0030832476875641
HP,12,0.0686787072243346
HQY,1430,0.0151910388215434
HR,99,0.0066666666666665
HRB,1130,-0.0119565217391304
